log10NH,log10PeakFlux,PhotonIndex,log10Ta,log10Fa,Gamma,Alpha,log Redshift
21.451745,0.342422681,2.08,3.68307,-10.95467702,2.20884,1.0241,0.5958267770732232
22.16619025,0.591064607,1.52,3.48517215,-10.15181088,1.75797,1.44859414,0.5812668052736706
21.70983536,0.079181246,1.85,3.79948,-11.02687215,1.89579,1.90651,0.5883837683787277
21.34792103,0.462397998,1.62,3.52138487,-10.29756946,1.8831,2.26312734,0.25527250510330607
22.12127744,0.477121255,1.21,3.53838419,-11.17198494,2.03526,0.54215516,0.680879174426811
21.91722026,0.612783857,1.4,3.15909591,-10.14327111,1.92121,1.01613299,0.5647843845039867
21.0438101,0.462397998,1.73,3.2113827,-10.37675071,1.82021,1.05329104,0.2944662261615929
21.0163605,0.301029996,1.58,3.59799,-10.59516628,2.06954,1.06622,0.6127838567197355
21.94617755,0.113943352,1.41,4.17178823,-11.31158018,2.00683,1.30353551,0.5182506513085
22.07736427,0.113943352,1.82,5.40919042,-11.92081875,2.37144,1.50995764,0.4429498695778616
22.04029767,1.11058971,1.32,3.23392922,-9.617982957,1.98504,1.54546584,0.505149978319906
21.66138196,0.0,2.36,4.20933518,-11.2823295,2.0682,1.15615612,0.30599588277080464
20.06405721,0.69019608,1.28,3.58393,-10.32975415,2.03183,1.39277,0.6773331514199017
21.12149747,-0.22184875,2.07,2.59006,-9.247183569,1.68684,1.28449,0.34596154181314126
20.79265849,0.531478917,1.52,3.56731,-10.8728952,2.29559,0.914676,0.36116099519502604
20.71960885,1.477121255,1.18,3.24559,-8.91721463,1.92439,1.3304,0.5145477526602861
21.01365445,0.113943352,1.35,2.65954,-10.51570016,2.06879,1.16497,0.362350507594848
21.19799139,0.447158031,1.8,3.68772,-10.7212464,2.0604,1.17745,0.6627578316815741
21.35024026,-0.096910013,1.51,2.071571247,-8.316052869,2.08823,1.742079764,0.31386722036915343
21.417896121836097,1.133538908,1.93,3.31959,-9.89279003,1.79449,1.28481,0.16999753706657023
21.99154725,0.86332286,1.85,5.84588,-10.62525165,2.69002,1.38344,0.12936759572298562
20.84178667,1.44870632,1.3,2.84594,-9.294136288,2.09466,1.11188,0.36078268987328005
21.32749584,0.544068044,1.45,3.9488,-10.91009489,2.24976,1.19347,0.4291060083326965
22.01669496,-0.15490196,1.5983278223510624,2.87134,-10.838632,2.15896,0.951056,0.702602841340427
22.00531353,1.28780173,1.04,3.59073,-9.730487056,1.88134,1.22509,0.5717088318086876
20.99187128,1.371067862,1.8,3.829176603,-10.12551818,1.96657,1.108879519,0.343920385393226
22.04094236,0.69019608,1.21,3.68383,-10.00568285,1.87322,1.36898,0.6951312977040258
21.81946365,0.322219295,1.33,3.90552,-10.85078089,2.06486,1.18974,0.6294095991027189
21.67796993,0.397940009,2.0,4.14388,-11.36251027,2.15785,0.875171,0.414973347970818
21.81764402,1.037426498,1.68,3.30686,-9.903089987,1.74751,0.948932,0.2762319579218336
20.90144742,0.204119983,1.59,3.58709,-11.09770006,1.93407,1.40649,0.5314789170422551
21.32824297,0.832508913,1.45,3.53686,-9.504455662,1.84304,1.25134,0.23678909940929294
22.46148952,0.0,0.92,3.77824,-11.31158018,1.93772,1.64981,0.7564078725489581
21.74573663284223,0.19709473377935982,1.5,3.70006,-10.9589,1.77015,1.35595,0.7187507347396652
21.74269921,0.62324929,1.86,2.85608,-9.847711656,1.95996,1.16056,0.5152113043278018
21.49730845,0.785329835,1.86,3.30337,-10.61083392,1.79496,1.54959,0.19672872262328683
21.59590717,-0.045757491,1.73,5.76634,-12.65757732,1.93447,2.33322,0.3926969532596657
21.48574413,0.949390007,0.62,2.77561,-9.872830386,1.80565,1.42066,0.3653943768547783
21.52664292,0.079181246,2.2,3.39431,-10.79048499,2.01678,1.17705,0.6532125137753437
22.01715025,1.58546073,1.08,2.49217,-8.609064893,1.84772,1.19079,0.44059426183983097
21.79039707,1.245512668,1.23,3.19694,-8.821023053,1.70996,1.24471,0.48572142648158
22.340573,0.9104372435281309,2.1,2.95174,-8.853871964,2.21622,1.82628,0.24427712080184286
20.842422,0.041392685,1.42,3.85419,-9.970616222,1.78547,2.03808,0.37272794088559547
22.33647975,0.986771734,1.57,3.15765,-9.642065153,1.96079,1.33346,0.5224442335063199
21.65076489,0.832508913,1.72,3.99907,-9.935542011,2.00612,1.74508,0.2576785748691845
21.55195354,0.255272505,0.49,2.7098,-10.76639985,2.307153,1.23481,0.38435341413750623
21.98623592,0.230448921,2.41,3.69323,-11.5214335,2.12551,0.897942,0.33585891131981793
21.0151543,0.278753601,1.77,4.43227,-11.6171,2.17922,1.1526,0.7075701760979364
21.605502667037012,0.204119983,1.99,3.06337,-10.72815839,2.20942,1.07478,0.5550944485783191
20.95374423,0.18427873641202286,1.73,4.10299,-11.74958,1.83834,0.973333,0.27184160653649897
21.501371780391256,0.079181246,1.77,3.8244,-11.17263073,2.2054,0.798663,0.4712917110589386
22.0158332,0.113943352,1.93,3.66139836,-11.36754271,1.75592,1.146279559,0.6551384348113821
21.4198963,-0.22184875,0.75,4.47751,-10.99567863,1.72551,1.10229,0.5289167002776547
20.72655851,0.255272505,1.84,3.76407,-11.22402567,1.93554,1.49693,0.7774268223893114
21.30214687,0.462397998,1.4,4.38419,-11.5214335,1.87827,0.948229,0.2395497208404731
21.16074757,-0.22184875,1.85,4.69106,-11.81247928,2.00325,0.883711,0.33425264233423074
21.87736847,0.832508913,1.19,4.08464,-10.74958,1.92624,1.141,0.4063698354692675
21.7153121,0.672097858,1.68,3.77629,-10.65364703,1.99768,1.1958,0.6669857183296606
21.69290922433959,0.35840977919267214,1.59,3.6300738,-10.31069114,1.8473,1.81152426,0.6541765418779605
21.33992622,-0.15490196,1.94,4.1513,-11.06348626,1.97351,1.37345,0.25959387888594865
21.521378858886507,-0.096910013,1.95,3.80257,-11.39577395,2.06685,1.02082,0.527114111639805
21.08891889,1.1430148,1.65,3.63746,-10.18641901,1.89159,0.774169,0.47856649559384334
21.06857915,-0.397940009,1.76,4.28080232,-10.075204,1.84715,1.7583977281006344,0.25358028956218287
21.73970839,0.591064607,1.94,4.41384,-11.26042766,2.20256,0.971187,0.2755416884013096
20.02880298,-0.15490196,2.07,4.78231,-12.10957898,1.99001,0.718496,0.5326270012288912
21.4933967,0.531478917,2.04,3.21372,-10.30627305,1.88733,1.09633,0.38183679999834336
21.41988474,0.146128036,0.97,4.02296,-11.14935376,1.86768,1.50063,0.4768316285122607
20.48730103,0.113943352,1.95,4.20449,-11.62342304,1.62007,1.17089,0.3010299956639812
21.21643247,0.556302501,1.3,4.6659,-10.98296666,1.99236,1.09835,0.3258234190027445
21.1034582,0.146128036,1.91,4.171185481,-11.54363397,2.06008,1.243849338,0.5860243823869757
21.24271531,1.831869774,1.36,3.62033,-8.847711656,1.8461,1.34127,0.21853550521652784
21.58733599,2.120573931,1.97,3.8695,-9.42365865,1.70111,1.1986,0.048053173115609055
22.27837171,0.146128036,1.52,3.15711,-9.928117993,1.76613,1.07011,0.37839790094813763
20.65703194,0.886490725,1.25,4.29043,-10.42365865,1.93674,2.64643,0.5952757118020994
20.88432911,0.568201724,2.02,3.7664,-10.39577395,1.76057,1.92336,0.3988077302032645
21.520409687489924,0.740362689,1.43,4.19124,-10.43297363,1.94587,1.26841,0.45621415535798887
21.6447605,-0.301029996,2.06,3.74534,-10.75202673,1.83214,1.18375,0.6411269328035093
20.95382587,0.740362689,1.64,4.88123,-11.257,1.5415,1.55953,0.5402042998420598
22.04910001,1.255272505,2.56,4.0838,-9.56068,2.0913,1.03996,0.03282014943856386
21.65033473,0.255272505,1.94,3.15321333,-10.8132081,1.81479,1.30602449,0.4348881208673159
21.592307030394842,0.681241237,1.24,1.95518066,-8.11145684,1.843,1.15734724,0.3320342770275179
21.391570055505337,0.301029996,1.36,4.53640048,-11.7337376,1.90881,1.56884903,0.39181692361324877
21.08966848,1.994317153,0.83,2.97975,-8.6381,1.88219,1.29833,0.3521825181113625
20.93258486,0.322219295,2.25,3.96908872,-11.0900559,2.0761,1.55158826,0.5913985512812487
21.73058526,0.612783857,1.47,2.72159651,-9.38944702,1.55046,1.19537497,0.47041049097593063
22.86332108,0.0,1.4,3.69587,-10.8802,1.45068,1.06263,0.8260748027008264
21.12319546,0.84509804,1.53,3.72413045,-10.1403778,1.85188,1.5451851,0.23426412437878927
21.14612804,0.146128036,2.37,3.24642494,-10.4520599,1.98,1.37828029,0.5048784594102159
21.05996459,0.681241237,1.6,2.93128506,-9.72925773,1.88408,1.16829405,0.5827449656912771
21.15768338,0.176091259,1.85,3.057651,-10.8415194,1.71079,1.21043545,0.5423273827739744
21.35337952,0.380211242,1.41,3.15453451,-10.4044334,1.83562,1.0816785,0.6570558528571039
21.03780485,1.130333768,0.98,2.89514,-9.19036,1.91684,1.05139,0.3283796034387377
21.83430305,2.06069784,1.41,2.91049117,-8.55006175,1.92306,1.12578835,0.4679039465228003
20.54058972,0.342422681,1.62,3.6504,-10.3507,1.83712,1.43908,0.33142729652074304
20.92054437,0.204119983,1.7756044352441507,4.80200435,-11.9404653,2.06317,1.74153741,0.3526647996511006
21.53322281,1.442479769,1.3,2.4985,-8.20842,1.70788,1.267456,0.4371160930480786
20.98677173,-0.045757491,1.63,3.43921565,-8.56429146,2.08,1.92622006,0.3250433474037041
21.90370028,0.86332286,1.13,3.04134881,-8.69262974,1.62241,1.20052929,0.7495817348655593
21.99532933,0.278753601,1.84,3.43803362,-10.1070569,1.78537,1.68612083,0.7753191218294776
20.42473959,-0.3015645555806392,1.87,5.53,-12.4941008,1.90103,2.26249671,0.5264426685299355
21.671014636033068,-0.22184875,1.38,3.79761,-11.1278,1.76412,1.57289,0.6821450763738318
22.22918251,0.51851394,1.82,3.7823081,-10.9066853,2.0855,0.931411844,0.4255342204982634
21.69224395,-0.22184875,1.6,4.8792574,-11.9505263,2.02038,2.06160972,0.6597260952377916
20.96124782,0.380211242,1.89,4.25859,-11.4531,2.08995,1.14181,0.6720978579357175
21.31377445,0.826074803,1.36,3.9564,-11.0883,2.00403,1.39195,0.534026106056135
21.82763844,0.591064607,1.08,3.24045,-10.048,1.66432281,1.60174,0.615950051656401
