n_layers,n_params,repeat,fold,r_train_log,r_test_log,RMSE_train_log,RMSE_test_log,R2_test_log,r_train_z,r_test_z,RMSE_train_z,RMSE_test_z,R2_test_z,nh_viol_train,nh_viol_test,r_nh_pred_train,r_nh_pred_test
1,42,1,1,0.6488225095035928,0.6282436056962245,0.14359295705387082,0.14379720325980402,0.30150793035795953,0.6666380635030414,0.5841854123360075,1.1037704908494814,1.1040959277555922,0.18219406695534224,0.3419043396877001,0.2964426877470356,0.4909364450368141,0.5906453902251018
1,42,1,2,0.639721566162005,0.6596262107813173,0.14039345351279856,0.16721687833384072,0.2400758688456195,0.6575663050371684,0.6441882583260504,1.044167976266402,1.5401187054735965,0.07361479078305222,0.33495886902123045,0.30039525691699603,0.48735478232981905,0.5991154650437583
1,42,1,3,0.6604016950953575,0.4856701614409646,0.1436341295973046,0.12016213997380655,0.1997697532408741,0.6717237776892038,0.5243701527356126,1.0950347332565142,0.9014248045966395,0.17656369287242035,0.3248608442933846,0.3241106719367589,0.5285565986548048,0.5454551641009123
1,42,1,4,0.6515097111374843,0.7710761157228134,0.14546408959725576,0.10501189271732461,0.5021992845149332,0.668551489869832,0.8059693430126226,1.1083474012760473,0.6487024403665744,0.5779701958141397,0.3173242697404069,0.3241106719367589,0.5409297785955576,0.5269216609871461
1,42,1,5,0.639544808591707,0.6378350773764248,0.14117916304803813,0.1574049679499956,0.29197645365303904,0.6540217618082149,0.6743387092953685,1.0899364370532416,0.953173095584631,0.344934606166731,0.3201812718585291,0.41106719367588934,0.525575957404688,0.3497580588652661
1,42,1,6,0.6382090424415711,0.5506847419635792,0.1445841836762081,0.14621709138679134,0.2499599431670647,0.657279368081765,0.5670478234373796,1.074249303653234,1.282474715761479,0.18091385972286833,0.3316100082914695,0.329004329004329,0.4966547463625543,0.5453665254134711
1,42,1,7,0.6419499385208174,0.7922133426750683,0.1393456577106576,0.1671610536716279,0.38578638471927773,0.6613387922449597,0.7687298544476706,1.0733949981788204,1.0917993378584585,0.3953262798574738,0.3213188313905282,0.354978354978355,0.5445093427614228,0.3970969383004034
1,42,1,8,0.6472041771041523,0.4521479120459667,0.1448654979241662,0.15205088642668316,0.16635525318547717,0.661921036321542,0.4483107210635415,1.1181386546369065,1.0967187323353809,0.1747281978669455,0.31185680144369116,0.24242424242424243,0.5425449142150852,0.5952216909828654
1,42,1,9,0.5281325084331842,0.4577631999786782,0.15451858358026385,0.1705885378112641,0.1739829297948461,0.5568988647066715,0.5581632390165336,1.1314001628802417,1.5092329599279914,0.17056957900612935,0.29410330195581136,0.11255411255411256,0.6130955030915137,0.9149162288008241
1,42,1,10,0.6582731689664577,0.1973598482389349,0.1417640893084589,0.14330679714275385,0.02438299806996025,0.6687289792212068,0.17175282440022946,1.0830641509070702,0.9389422705956525,0.025941549126460184,0.32063600448714824,0.4805194805194805,0.5279347662811454,0.01576755808830669
1,42,2,1,0.6249495757692217,0.7343034895828461,0.14373122452012232,0.14558722061273688,0.24965134659652866,0.6415973417608501,0.7405916713592726,1.0988139437714746,0.8875737513579165,0.353998249912978,0.3460420668932565,0.391304347826087,0.4667806300859459,0.43230811865079577
1,42,2,2,0.6372842443603801,0.4184856954105438,0.14422110565079133,0.16059803881528711,0.15100576953692224,0.6523237694030128,0.4595594281665831,1.1233267006171834,1.0720020162945672,0.17049238399465938,0.307472538298606,0.38735177865612647,0.5607922227018223,0.29334169354610024
1,42,2,3,0.6532667261738309,0.3980001065369188,0.14200519229047417,0.14260579888235783,0.13347368548942584,0.6677017783419197,0.34972635404534297,1.0859453161349373,0.9569856580327957,0.11587602977465528,0.32027978917294714,0.3557312252964427,0.5367119683713297,0.3888833719279822
